fName,metaCleanId
Stu Zicherman,414
Julie Taymor,415
Mike McCoy,416
Tim Kirkby,417
Jack Bryan,418
Mike Ott,419
Robert Greene,420
Rosemary Rodriguez,421
James Gray,422
Max Mayer,423
Rhys Ernst,424
Paul Schrader,425
Craig Chester,426
Anders Thomas Jensen,427
Roger Gnoan M'Bala,428
Spike Jonze,429
Bille Woodruff,430
Jamie Babbit,431
Charles Evans Jr.,432
Paul Weitz,433
Logan Marshall-Green,434
Atom Egoyan,435
Anne Fontaine,436
Marco Filiberti,437
Shinobu Yaguchi,438
Baltasar KormÃƒÂ¡kur,439
Ross Katz,440
Rachel Tunnard,441
Scott Coffey,442
Lina Plioplyte,443
Jennifer Phang,444
Greg Mottola,445
Ari Gold,446
Ken Loach,447
Radu Jude,448
Kevin Asch,449
Havana Marking,450
Alastair Fothergill,451
Pieter Gaspersz,452
Jenny Gage,453
Jon Kean,454
M. Night Shyamalan,455
Hannah Marks,456
Eric Schaeffer,457
Jessica Sanders,458
Joachim Lafosse,459
Davide Ferrario,460
Emily Taguchi,461
Alexander H. Browne,462
John Huddles,463
Saar Klein,464
Lucas Belvaux,465
Hirokazu Koreeda,466
Brett Ratner,467
Susanne Bier,468
Bart Freundlich,469
Lana Wilson,470
Juan Feldman,471
Andrzej Wajda,472
Agnieszka Wojtowicz-Vosloo,473
Wladyslaw Pasikowski,474
Peter Engert,475
Elliott Lester,476
Jill Soloway,477
Nancy Buirski,478
Antonio Campos,479
NicolÃƒÂ¡s LÃƒÂ³pez,480
Charles S. Dutton,481
Arnaud des Palli,482
Harald Zwart,483
Kevin Allen,484
Mickey Reece,485
Oskar Roehler,486
Alejandro AmenÃƒÂ¡bar,487
Robert Richman,488
Steven Spielberg,489
Alison Klayman,490
Andreas Johnsen,491
Joan Churchill,492
Jamila Wignot,493
Max FÃƒÂ¤rberbÃƒÂ¶ck,494
Jacob Hatley,495
David Lowery,496
Alexandra Lipsitz,497
Scandar Copti,498
Duncan Roy,499
Josh Gilbert,500
Doug Atchison,501
Charles Officer,502
Chris Hegedus,503
Guy Ritchie,504
Declan Lowney,505
Niall MacCormick,506
Rodrigo GarcÃƒÂ­a,507
Rob Cohen,508
Rob Reiner,509
Chris Messina,510
Geoffrey Sax,511
Craig Johnson,512
Oliver Stone,513
Miguel Arteta,514
Aleksandr Sokurov,515
Charles Shyer,516
Michael Mann,517
Mark Mylod,518
Claude Miller,519
Josephine Mackerras,520
AndrÃƒÂ© TÃƒÂ©chinÃƒÂ©,521
Tim Burton,522
Andrew Neel,523
James Bobin,524
Chico Teixeira,525
Matty Beckerman,526
Ridley Scott,527
Anton Bormatov,528
Jabbar Raisani,529
R.W. Goodwin,530
John Schultz,531
James Cameron,532
Amos Gitai,533
Robert Rodriguez,534
Michael Rossato-Bennett,535
Elie Wajeman,536
Shunji Iwai,537
Eva Vives,538
Phil Traill,539
Kevin Bray,540
Martyn Atkins,541
Chris Sivertson,542
Joe Robert Cole,543
Benny Boom,544
Andrew Jarecki,545
Colleen Hennessy,546
Marc Forster,547
Susan Walter,548
Lisa Cortes,549
Douglas Tirola,550
Phil Morrison,551
Mia Hansen-LÃƒÂ¸ve,552
J.C. Chandor,553
Kenneth Branagh,554
Eva Trobisch,555
Theo Anthony,556
Marc Meyers,557
Matej Minac,558
Mike Leigh,559
Julie Davis,560
J.C. Khoury,561
Steve Gomer,562
Jonathan Levine,563
Brett Haley,564
Steven Zaillian,565
Joe Swanberg,566
Ridley Scott,567
Billy Bob Thornton,568
Stefan Ruzowitzky,569
James D. Stern,570
David Gordon Green,571
Michael Johnson,572
Michal Marczak,573
Melissa B. Miller-Costanzo,574
Colin Hanks,575
Jenny Gage,576
StÃƒÂ©phane Robelin,577
Brett Haley,578
Katie Holmes,579
Andrea Kalin,580
Michael Connors,581
Fabrice Du Welz,582
Robert Zemeckis,583
Scott Marshall,584
Carlos Sanchez,585
David E. Talbert,586
Cameron Crowe,587
Steve Hoover,588
Mike Doyle,589
