director,title
John Krasinski,A Quiet Place
John Krasinski,A Quiet Place Part II
Woody Allen,A Rainy Day in New York
Catherine Breillat,A Real Young Girl
Mark Grieco,A River Below
Kalyanee Mam,A River Changes Course
Nikolaj Arcel,A Royal Affair
Julian Jarrold,A Royal Night Out
Richard Linklater,A Scanner Darkly
Mahamat-Saleh Haroun,A Screaming Man
Claude Miller,A Secret
Asghar Farhadi,A Separation
Ethan Coen,A Serious Man
Richard Phelan,A Shaun the Sheep Movie: Farmageddon
Michael Maren,A Short History of Decay
Michael Corrente,A Shot at Glory
Jeffrey Jacobs,A Sidewalk Astronomer
Federico Hidalgo,A Silent Love
Naoko Yamada,A Silent Voice
Paul Feig,A Simple Favor
Ann Hui,A Simple Life
Yimou Zhang,"A Woman, a Gun and a Noodle Shop"
Tom Ford,A Single Man
David M. Rosenthal,A Single Shot
Parvez Sharma,A Sinner in Mecca
Denis Côté,A Skin So Soft
Toni Kalem,A Slipping-Down Life
Hans Petter Moland,A Somewhat Gentle Man
Bille August,A Song for Martin
Peter Hyams,A Sound of Thunder
Van Neistat,A Space Program
Bradley Cooper,A Star Is Born
Daniel Gordon,A State of Mind
Roger Spottiswoode,A Street Cat Named Bob
Natalie Portman,A Tale of Love and Darkness
Manoel de Oliveira,A Talking Picture
Hun Jang,A Taxi Driver
Hannah Fidell,A Teacher
Ramona S. Diaz,A Thousand Cuts
Julián Hernández,A Thousand Peace Clouds Encircle the Sky
Brian Robbins,A Thousand Words
Wayne Wang,A Thousand Years of Good Prayers
Bahman Ghobadi,A Time for Drunken Horses
Zhang Ke Jia,A Touch of Sin
Stéphane Aubier,A Town Called Panic
Amma Asante,A United Kingdom
Donal MacIntyre,A Very British Gangster
Todd Strauss-Schulson,A Very Harold & Kumar Christmas
Jean-Pierre Jeunet,A Very Long Engagement
Sarah Daggar-Nickson,A Vigilante
Scott Frank,A Walk Among the Tombstones
Ken Kwapis,A Walk in the Woods
Adam Shankman,A Walk to Remember
Tobias Lindholm,A War
Michael F. Sears,A Warrior's Heart
Roman White,A Week Away
Megumi Sasaki,A Whale of a Tale
Hlynur Palmason,"A White, White Day"
Fernando Coimbra,A Wolf at the Door
Elisabeth Subrin,"A Woman, a Part"
Jean-Luc Godard,A Woman Is a Woman
Ava DuVernay,A Wrinkle in Time
Anahí Berneri,A Year Without Love
Brian Shoaf,Aardvark
Steve James,Abacus: Small Enough to Jail
Darren Lynn Bousman,Abattoir
Abbas Kiarostami,ABC Africa
Krutin Patel,ABCD
Aharon Keshales,ABCs of Death 2
John Singleton,Abduction
Chris Sheridan,Abduction: The Megumi Yokota Story
Fernando Grostein Andrade,Abe
Hans Petter Moland,Aberdeen
