director,title
Rufus Norris,London Road
Paul Andrew Williams,London to Brighton
Derrick Borte,London Town
Gore Verbinski,The Lone Ranger
Peter Berg,Lone Survivor
Todd Robinson,Lonely Hearts
Steve Buscemi,Lonesome Jim
Gan Bi,Long Day's Journey Into Night
Jonathan Levine,Long Shot
Amir Bar-Lev,Long Strange Trip
Rémi Chayé,Long Way North
Stephen Basilone,Long Weekend
Adam Rifkin,Look
Agnès Jaoui,Look at Me
Sarah Watt,Look Both Ways
Jef Sewell,Look & See: A Portrait of Wendell Berry
Martin Davidson,Looking for an Echo
Albert Brooks,Looking for Comedy in the Muslim World
Ken Loach,Looking for Eric
Edward Burns,Looking for Kitty
Andrzej Krakowski,Looking for Palladin
Tim Hunter,Looking Glass
Joe Dante,Looney Tunes: Back in Action
Rian Johnson,Looper
Michael Corrente,Loosies
Marcus Viner,Lord of the Dance in 3D
Andrew Niccol,Lord of War
Catherine Hardwicke,Lords of Dogtown
Cate Shortland,Lore
Sabrina Doyle,Lorelei
Jean-Pierre Dardenne,Lorna's Silence
Paolo Sorrentino,Loro
Thom Andersen,Los Angeles Plays Itself
Amy Heckerling,Loser
Valerie Weiss,Losing Control
Léa Pool,Lost and Delirious
Jon Shenk,Lost Boys of Sudan
Daniel Burman,Lost Embrace
Liz Garbus,Lost Girls
William Olsson,Lost Girls & Love Hotels
Keith Fulton,Lost in La Mancha
Dominique Abel,Lost in Paris
Sofia Coppola,Lost in Translation
Ryan Gosling,Lost River
Janusz Kaminski,Lost Souls
Katharine O'Brien,Lost Transmissions
Erik White,Lottery Ticket
Alexandra McGuinness,Lotus Eaters
Greg Jacobs,Louder Than a Bomb
Joachim Trier,Louder Than Bombs
Anthony Fabian,Louder Than Words
Jessica Hausner,Lourdes
Gaspar Noé,Love
Richard Curtis,Love Actually
Russell Harbaugh,Love After Love
Bryan Poyser,Love & Air Sex
Jennifer Dworkin,Love and Diane
Danny Mooney,Love and Honor
Michael Matthews,Love and Monsters
Edward Zwick,Love and Other Drugs
Garret Price,"Love, Antosha"
Thomas Cailley,Love at First Fight
Lisa Immordino Vreeland,"Love, Cecil"
Alain Corneau,Love Crime
Troy Beyer,Love Don't Cost a Thing
Jill Andresevic,Love Etc.
Shion Sono,Love Exposure
Whit Stillman,Love & Friendship
Lisa Dapolito,"Love, Gilda"
Brandon Camp,Love Happens
Hernan Jimenez,Love Hard
Ho-Cheung Pang,Love in the Buff
Mike Newell,Love in the Time of Cholera
Peter Mattei,Love in the Time of Money
Alexandre Castagnetti,Love Is in the Air
Ira Sachs,Love Is Strange
Todd Louiso,Love Liza
Liz Garbus,"Love, Marilyn"
Bill Pohlad,Love & Mercy
Robert Parigi,Love Object
Taylor Hackford,Love Ranch
Christian Ditter,"Love, Rosie"
Greg Berlanti,"Love, Simon"
Christophe Honoré,Love Songs
Jessie Nelson,Love the Coopers
Peter Sehr,Love the Hard Way
Dermot Mulroney,"Love, Wedding, Marriage"
Dennis Dugan,"Love, Weddings & Other Disasters"
Ramin Serry,Loveless
Nicole Holofcener,Lovely & Amazing
Eduardo Sánchez,Lovely Molly
Nicholas Fackler,"Lovely, Still"
Kevin Bacon,Loverboy
Bryan Poyser,Lovers of Hate
Kenneth Branagh,Love's Labour's Lost
So Yong Kim,Lovesong
Jeff Nichols,Loving
Kwyn Bader,Loving Jezebel
Fernando León de Aranoa,Loving Pablo
Dorota Kobiela,Loving Vincent
Kevin McMullin,Low Tide
Sérgio Machado,Lower City
Ryan Prows,Lowlife
Ricardo de Montreuil,Lowriders
Masaaki Yuasa,Lu Over the Wall
Enrico Casarosa,Luca
Julius Onah,Luce
Alex Hammond,Lucha Mexico
Antonio Serrano,"Lucía, Lucía"
Gil Cates Jr.,Lucky
John Carroll Lynch,Lucky
Natasha Kermani,Lucky
Robert Nathan,Lucky Bastard
Peter Cattaneo,Lucky Break
Sasie Sealy,Lucky Grandma
Paul McGuigan,Lucky Number Slevin
Nora Ephron,Lucky Numbers
Megan Griffiths,Lucky Them
Curtis Hanson,Lucky You
Luc Besson,Lucy
Noah Hawley,Lucy in the Sky
Fábio Barreto,"Lula, the Son of Brazil"
Andrew Levitas,Lullaby
José Luis Valenzuela,Luminarias
Bette Gordon,Luminous Motion
Raoul Peck,Lumumba
Jan Svankmajer,Lunacy
Hayao Miyazaki,Lupin III: The Castle of Cagliostro
Ang Lee,"Lust, Caution"
Art Jones,Lustre
Eric Till,Luther
Sheldon Candis,LUV
Alex Camilleri,Luzzu
Matt Aselton,Lying and Stealing
Derick Martini,Lymelife
David Lynch,Lynch
Celia Rowlson-Hall,Ma
Tate Taylor,Ma
George C. Wolfe,Ma Rainey's Black Bottom
Geoffrey Wright,Macbeth
Justin Kurzel,Macbeth
Jorma Taccone,MacGruber
Ethan Maniquis,Machete
Robert Rodriguez,Machete Kills
Marc Forster,Machine Gun Preacher
Rahul Jain,Machines
Andrés Wood,Machuca
Andrew Napier,Mad As Hell
Johnnie To,Mad Detective
Marilyn Agrelo,Mad Hot Ballroom
Vicente Aranda,Mad Love
George Miller,Mad Max: Fury Road
Callie Khouri,Mad Money
Akira Kurosawa,Madadayo
Eric Darnell,Madagascar
Conrad Vernon,Madagascar 3: Europe's Most Wanted
Eric Darnell,Madagascar: Escape 2 Africa
Sophie Barthes,Madame Bovary
Karim Ainouz,Madame Satã
Jon Favreau,Made
Ron Howard,Made in America
Nigel Cole,Made in Dagenham
James D'Arcy,Made in Italy
Paul Weiland,Made of Honor
Tony Shalhoub,Made-Up
Tyler Perry,Madea Goes to Jail
Tyler Perry,Madea's Big Happy Family
Tyler Perry,Madea's Family Reunion
Josephine Decker,Madeline's Madeline
Fabien Constant,Mademoiselle C
Stéphane Brizé,Mademoiselle Chambon
William Bindley,Madison
David Trueba,"Madrid, 1987"
Denis Villeneuve,Maelstrom
Josell Ramos,Maestro
Henry Hobson,Maggie
Rebecca Miller,Maggie's Plan
Woody Allen,Magic in the Moonlight
Sebastián Silva,Magic Magic
Steven Soderbergh,Magic Mike
Gregory Jacobs,Magic Mike XXL
Alex Gibney,Magic Trip
Chuck Workman,Magician: The Astonishing Life and Work of Orson Welles
Mark Cowen,Magnificent Desolation: Walking on the Moon 3D
Benjamin Ree,Magnus
Wayne Wang,Maid in Manhattan
Alex Holmes,Maiden
Jillian Schlesinger,Maidentrip
Andrew Gurland,Mail Order Wife
Sam Peckinpah,Major Dundee (re-release)
Emmanuel Gras,Makala
Michael Murphy,Make It Funky!
Duane Adler,Make Your Move
Crayton Robey,Making the Boys
Midge Costin,Making Waves: The Art of Cinematic Sound
Antonio Santini,Mala Mala
Carter,Maladies
Robert Stromberg,Maleficent
Joachim Rønning,Maleficent: Mistress of Evil
Stevan Mena,Malevolence
James Wan,Malignant
Cristi Puiu,Malmkrog
Andres Muschietti,Mama
Émile Gaudreault,Mambo italiano
Phyllida Lloyd,Mamma Mia!
Ol Parker,Mamma Mia! Here We Go Again
Lukas Moodysson,Mammoth
Dave Boyle,Man from Reno
Michael Schroeder,Man in the Chair
Zack Snyder,Man of Steel
Keanu Reeves,Man of Tai Chi
Barry Levinson,Man of the Year
Asger Leth,Man on a Ledge
Tony Scott,Man on Fire
Patrice Leconte,Man on the Train
James Marsh,Man on Wire
Ramin Bahrani,Man Push Cart
Ben Palmer,Man Up
Pacho Velez,Manakamana
Kenneth Lonergan,Manchester by the Sea
Jason Kohn,Manda Bala (Send a Bullet)
Justin Chadwick,Mandela: Long Walk to Freedom
Quentin Dupieux,Mandibles
Chris 'Casper' Kelly,Mandy
David Gordon Green,Manglehorn
Brian DeCubellis,Manhattan Night
John Woo,Manhunt
Franck Khalfoun,Maniac
Jordan Melamed,Manic
Julian Rosefeldt,Manifesto
Eric Eason,Manito
David Fincher,Mank
Gabrielle Burton,Manna from Heaven
Leon Gast,Manny
Michael Roberts,Manolo: The Boy Who Made Shoes for Lizards
Josef Kubota Wladyka,Manos Sucias
Morgan Spurlock,Mansome
Mohammad Rasoulof,Manuscripts Don't Burn
Bruce Beresford,Mao's Last Dancer
Ondi Timoner,Mapplethorpe
David Cronenberg,Maps to the Stars
Amir Naderi,Marathon
Luc Jacquet,March of the Penguins
Richard Benjamin,Marci X
David Redmon,Mardi Gras: Made in China
Takashi Shimizu,Marebito (The Stranger from Afar)
Larry Clark,Marfa Girl
Kenneth Lonergan,Margaret
Kerry Asmussen,Margaret Cho: Assassin
J.C. Chandor,Margin Call
Xavier Giannoli,Marguerite
Valérie Donzelli,Marguerite & Julien
Tom Volf,Maria by Callas
Joshua Marston,Maria Full of Grace
Nick Broomfield,Marianne & Leonard: Words of Love
Sofia Coppola,Marie Antoinette
Jean-Pierre Améris,Marie's Story
Randall Miller,Marilyn Hotchkiss' Ballroom Dancing & Charm School
Jeff Dupre,Marina Abramovic: The Artist Is Present
Wiebke von Carolsfeld,Marion Bridge
Daniel Auteuil,Marius
Michael Almereyda,Marjorie Prime
Peter Landesman,Mark Felt: The Man Who Brought Down the White House
Hannah Marks,"Mark, Mary & Some Other People"
David Frankel,Marley & Me
Tom Dey,Marmaduke
Anca Damian,Marona's Fantastic Tale
Bahman Ghobadi,Marooned in Iraq
Noah Baumbach,Marriage Story
Ira Sachs,Married Life
Simon Wells,Mars Needs Moms
Reginald Hudlin,Marshall
Menno Meyjes,Martian Child
Pietro Marcello,Martin Eden
David Raynr,Martin Lawrence Live: Runteldat
Reiner Holzemer,Martin Margiela: In His Own Words
Lawrence Blume,Martin & Orloff
Kevin Goetz,Martyrs
Jeff Malmberg,Marwencol
Michael Goi,Mary
Hiromasa Yonebayashi,Mary and The Witch's Flower
Garth Davis,Mary Magdalene
Rob Marshall,Mary Poppins Returns
Josie Rourke,Mary Queen of Scots
Haifaa Al-Mansour,Mary Shelley
Ramin Serry,Maryam
Larry Charles,Masked and Anonymous
Christophe de Ponfilly,"Massoud, the Afghan"
Peter Weir,Master and Commander: The Far Side of the World
Woo-ping Yuen,Master Z: Ip Man Legacy
Jared Hess,Masterminds
Stephen Loveridge,MATANGI/MAYA/M.I.A.
Woody Allen,Match Point
Ridley Scott,Matchstick Men
Martha Coolidge,Material Girls
David Gutnik,Materna
Michele Josue,Matt Shepard Is a Friend of Mine
Alison Chernick,Matthew Barney: No Restraint
Xavier Dolan,Matthias & Maxime
Ted Bonnitt,Mau Mau Sex Sex
Aisling Walsh,Maudie
Jessica Edwards,Mavis!
Menno Meyjes,Max
Boaz Yakin,Max
Tim Hill,Max Keeble's Big Move
Espen Sandberg,Max Manus
John Moore,Max Payne
Daniel Noah,Max Rose
Stewart Hendler,Max Steel
James D. Scurlock,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders"
Lucky McKee,May
Cherien Dabis,May in the Summer
Magdalena Zyzak,Maya Dardel
Alexs Stadermann,Maya the Bee Movie
Ben Elton,Maybe Baby
Joe Lynch,Mayhem
David Osit,Mayor
George Hickenlooper,Mayor of the Sunset Strip
Jesse Moss,Mayor Pete
Rob Morrow,Maze
Wes Ball,Maze Runner: The Death Cure
Wes Ball,Maze Runner: The Scorch Trials
David C. Thomas,MC5*: A True Testimonial
Josh C. Waller,McCanick
David Morris,McCullin
Niki Caro,McFarland USA
Ian Bonhôte,McQueen
Alfonso Gomez-Rejon,Me and Earl and the Dying Girl
Richard Linklater,Me and Orson Welles
Bernardo Bertolucci,Me and You
Thea Sharrock,Me Before You
Michael Apted,Me & Isaac Newton
Pip Karmel,Me Myself I
Bobby Farrelly,"Me, Myself & Irene"
Sandra Goldbacher,Me Without You
Andrucha Waddington,Me You Them
Alex Gibney,Mea Maxima Culpa: Silence in the House of God
Nathan Morlando,Mean Dreams
Mark Waters,Mean Girls
Paul Ireland,Measure for Measure
Jim Loach,Measure of a Man
Dennis Gansel,Mechanic: Resurrection
Andrea Pallaoro,Medeas
Barry Jenkins,Medicine for Melancholy
Jonas Carpignano,Mediterranea
Andrew Cohn,Medora
Etgar Keret,Meduzot
Kelly Reichardt,Meek's Cutoff
Bernie Goldmann,Meet Bill
Brian Robbins,Meet Dave
Alex Holdridge,Meet Me in Montenegro
Keith Bearden,Meet Monica Velour
Tyler Perry,Meet the Browns
Jay Roach,Meet the Fockers
Gabrielle Provaas,Meet the Fokkens
Jay Roach,Meet the Parents
Geeta Patel,Meet the Patels
Stephen J. Anderson,Meet the Robinsons
Aaron Seltzer,Meet the Spartans
Andre Singer,Meeting Gorbachev
Molly Bingham,Meeting Resistance
Malcolm Mowbray,Meeting Spencer
Tom McGrath,Megamind
Gabriela Cowperthwaite,Megan Leavey
Lars von Trier,Melancholia
Pirjo Honkasalo,Melancholian 3 huonetta
Woody Allen,Melinda and Melinda
Christopher Nolan,Memento
Emmanuel Finkiel,Memoir of War
Rob Marshall,Memoirs of a Geisha
Julian Hobbs,Memoirs of My Nervous Illness
Apichatpong Weerasethakul,Memoria
Joon-ho Bong,Memories of Murder
Yukihiko Tsutsumi,Memories of Tomorrow
Alexandre O. Philippe,Memory: The Origins of Alien
Tim Sutton,Memphis
Anders Thomas Jensen,Men & Chicken
Zachary Treitz,Men Go to Battle
Barry Sonnenfeld,Men in Black II
Barry Sonnenfeld,Men in Black III
F. Gary Gray,Men in Black: International
George Tillman Jr,Men of Honor
Asli Özge,Men on the Bridge
Jason Reitman,"Men, Women & Children"
Joshua Z. Weinstein,Menashe
P.J. Hogan,Mental
Robert Kenner,Merchants of Doubt
Andrew Litvack,Merci Docteur Rey
Claude Chabrol,Merci pour le Chocolat
Patrick Hoelck,Mercy
Christian Carion,Merry Christmas
Elizabeth Chai Vasarhelyi,Meru
Jean-François Richet,Mesrine: Killer Instinct
Jean-François Richet,Mesrine: Public Enemy No. 1
Jessica Joy Wise,Metal: A Headbanger's Journey
Bruce Sinofsky,Metallica: Some Kind of Monster
Nimród Antal,Metallica: Through the Never
Sean Ellis,Metro Manila
Rintaro,Metropolis
Bharat Nalluri,MI-5
Jacques-Rémy Girerd,Mia and the Migoo
Nanni Moretti,Mia Madre
Michael Mann,Miami Vice
Markus Schleinzer,Michael
Tony Gilroy,Michael Clayton
Michael Moore,Michael Moore in TrumpLand
Annabelle Attanasio,Mickey and the Bear
Julien Lecat,Micmac - Au four et au moulin
Jean-Pierre Jeunet,Micmacs
Michel Gondry,Microbe and Gasoline
Gianni Di Gregorio,Mid-August Lunch
Jonah Hill,Mid90s
George Gallo,Middle Men
Ava DuVernay,Middle of Nowhere
Izuru Narushima,Midnight Eagle
Luke Lorentzen,Midnight Family
Randall Emmett,Midnight in the Switchgrass
Jeff Nichols,Midnight Special
Scott Speer,Midnight Sun
Julius Ramsay,Midnighters
Deepa Mehta,Midnight's Children
Ari Aster,Midsommar
Roland Emmerich,Midway
Søren Kragh-Jacobsen,Mifune's Last Song
Debbie Goodstein,Mighty Fine
Jake Szymanski,Mike and Dave Need Wedding Dates
Avi Belkin,Mike Wallace Is Here
Neten Chokling,Milarepa
Peter Berg,Mile 22
Don Cheadle,Miles Ahead
Stanley Nelson,Miles Davis: Birth of the Cool
Jake Meginsky,Milford Graves Full Mantis
Peter Cattaneo,Military Wives
Gus Van Sant,Milk
Joe Maggio,Milk and Honey
Satoshi Kon,Millennium Actress
Hsiao-hsien Hou,Millennium Mambo
Craig Gillespie,Million Dollar Arm
Clint Eastwood,Million Dollar Baby
Danny Boyle,Millions
Allan Mindel,"Milwaukee, Minnesota"
Oliver Laxe,Mimosas
Eric Schaeffer,Mind the Gap
Sean Foley,Mindhorn
Bing Liu,Minding the Gap
Fabio Guaglione,Mine
Eddie Mensore,Mine 9
Kyle Balda,Minions
Nick Guthe,Mini's First Time
Steven Spielberg,Minority Report
Eric Steel,Minyan
Gavin O'Connor,Miracle
Spike Lee,Miracle at St. Anna
Mamoru Hosoda,Mirai
Julian Schnabel,Miral
Tarsem Singh,Mirror Mirror
Dave McKean,MirrorMask
Alexandre Aja,Mirrors
Philippa Lowthorpe,Misbehaviour
Shintaro Shimosawa,Misconduct
Kevin Pollak,Misery Loves Comedy
Sam Hobkinson,Misha and the Wolves
Gerardo Naranjo,Miss Bala
Catherine Hardwicke,Miss Bala
Donald Petrie,Miss Congeniality
Keiichi Hara,Miss Hokusai
Liv Ullmann,Miss Julie
Channing Godfrey Peoples,Miss Juneteenth
Ashim Ahluwalia,Miss Lovely
Trevor Moore,Miss March
Karen Leigh Hopkins,Miss Meadows
Vincent Bal,Miss Minoes
Tim Burton,Miss Peregrine's Home for Peculiar Children
Bharat Nalluri,Miss Pettigrew Lives for a Day
Chris Noonan,Miss Potter
Barbara Kopple,Miss Sharon Jones!
John Madden,Miss Sloane
Julia Hart,Miss Stevens
Catherine Hardwicke,Miss You Already
Chris Butler,Missing Link
Brad Bird,Mission: Impossible - Ghost Protocol
Christopher McQuarrie,Mission: Impossible - Rogue Nation
Christopher McQuarrie,Mission: Impossible – Fallout
J.J. Abrams,Mission: Impossible III
James Moore,Mission to Lars
Brian De Palma,Mission to Mars
Anna Boden,Mississippi Grind
Tom Berninger,Mistaken for Strangers
Eric Notarnicola,Mister America
David Mackenzie,Mister Foe
Harmony Korine,Mister Lonely
Noah Baumbach,Mistress America
Asia Argento,Misunderstood
Samuel D. Pollard,MLK/FBI
Chris Williams,Moana
Vladimir de Fontenay,Mobile Homes
Rob Gordon Bralver,Moby Doc
Mick Davis,Modigliani
Ki-duk Kim,Moebius
Oliver Hermanus,Moffie
Bassam Tariq,Mogul Mowgli
Ted Geoghegan,Mohawk
Tommy Davis,Mojados: Through the Night
William Monahan,Mojave
Frédéric Mermoud,Moka
Laurent Tirard,Molière
Aaron Sorkin,Molly's Game
Jeff Lipsky,Molly's Theory of Relativity
Brian Taylor,Mom and Dad
Xavier Dolan,Mommy
Andrew Erwin,Moms' Night Out
Mike Newell,Mona Lisa Smile
Argyris Papadimitropoulos,Monday
Fernando León de Aranoa,Mondays in the Sun
Jonathan Nossiter,Mondovino
Gregg Lachow,Money Buys Happiness
Jim Bruce,Money for Nothing: Inside the Federal Reserve
Jodie Foster,Money Monster
Sergey Bodrov,Mongol: The Rise of Genghis Khan
Hao Ning,Mongolian Ping Pong
Alastair Fothergill,Monkey Kingdom
Henry Selick,Monkeybone
Dana Adam Shapiro,Monogamy
Alejandro Landes,Monos
François Dupeyron,Monsieur Ibrahim
Philippe Falardeau,Monsieur Lazhar
Antoine De Caunes,Monsieur N.
Hong Khaou,Monsoon
Mira Nair,Monsoon Wedding
Patty Jenkins,Monster
Anthony Mandler,Monster
Gil Kenan,Monster House
Raman Hui,Monster Hunt
Robert Luketic,Monster-in-Law
Chris Wedge,Monster Trucks
Gareth Edwards,Monsters
Reinaldo Marcus Green,Monsters and Men
Tom Green,Monsters: Dark Continent
David Silverman,"Monsters, Inc."
Dan Scanlon,Monsters University
Conrad Vernon,Monsters vs Aliens
Thomas Bezucha,Monte Carlo
Kelly Duane,Monumental: David Brower's Fight for Wild America
Michel Gondry,Mood Indigo
Hans Fjellestad,Moog
Duncan Jones,Moon
Paula van der Oest,Moonlight
Barry Jenkins,Moonlight
Brad Silberling,Moonlight Mile
Irene Taylor Brodsky,Moonlight Sonata: Deafness in Three Movements
Wes Anderson,Moonrise Kingdom
Kristopher Belman,More Than a Game
Markus Imhoof,More Than Honey
Luke Scott,Morgan
Tjebbo Penning,Morlang
Leland Orser,Morning
Roger Michell,Morning Glory
Mark Monroe,Morning Light
Carma Hinton,Morning Sun
Chad Hartigan,Morris from America
Simon McQuoid,Mortal Kombat
David Koepp,Mortdecai
Lynne Ramsay,Morvern Callar
Christophe Van Rompaey,"Moscow, Belgium"
Johnny O'Reilly,Moscow Never Sleeps
Aurora Guerrero,Mosquita y Mari
Filip Jan Rymsza,Mosquito State
Ana Asensio,Most Beautiful Island
Daniel Roby,Most Wanted
Sandra Nettelbeck,Mostly Martha
Joon-ho Bong,Mother
Darren Aronofsky,mother!
Rodrigo García,Mother and Child
Mattson Tomlin,Mother/Android
Andrew Dosunmu,Mother of George
Dario Argento,Mother of Tears
Katherine Dieckmann,Motherhood
Eva Husson,Mothering Sunday
Edward Norton,Motherless Brooklyn
Nigel Levy,Mothers and Daughters
Darren Lynn Bousman,Mother's Day
Garry Marshall,Mother's Day
Baz Luhrmann,Moulin Rouge!
Jennifer Peedom,Mountain
Chuan Lu,Mountain Patrol
Zhang Ke Jia,Mountains May Depart
Alison Murray,Mouth to Mouth
Bob Odenkirk,Movie 43
Godfrey Cheshire,Moving Midway
Andy Serkis,Mowgli: Legend of the Jungle
Amy Poehler,Moxie
René Féret,Mozart's Sister
Charles Stone III,Mr 3000
Steve Bendelack,Mr. Bean's Vacation
Bruce A. Evans,Mr. Brooks
Bruce Beresford,Mr. Church
Tomer Heymann,Mr. Gaga
Bill Condon,Mr. Holmes
Agnieszka Holland,Mr. Jones
Zach Helm,Mr. Magorium's Wonder Emporium
Doug Liman,Mr. & Mrs. Smith
Bernard Rose,Mr. Nice
Jaco Van Dormael,Mr. Nobody
Rob Minkoff,Mr. Peabody & Sherman
Paco Cabezas,Mr. Right
Noël Wells,Mr. Roosevelt
Mike Leigh,Mr. Turner
Marc Levin,Mr. Untouchable
Craig Gillespie,Mr. Woodcock
Stephen Frears,Mrs Henderson Presents
Serge Bozon,Mrs. Hyde
Adrian Noble,Mrs. Lowry & Son
Dan Ireland,Mrs Palfrey at The Claremont
Justin Chon,Ms. Purple
Joss Whedon,Much Ado About Nothing
Michael Rubbo,Much Ado About Something
Cristina Costantini,Mucho Mucho Amor
Jeff Nichols,Mud
Dee Rees,Mudbound
Andrew Thompson,Mugabe and the White African
Stephen Earnhart,Mule Skinner Blues
Brooks Branch,Multiple Sarcasms
Stephen Vittoria,Mumia: Long Distance Revolutionary
James Bobin,Muppets Most Wanted
Barbet Schroeder,Murder by Numbers
Kyle Newacheck,Murder Mystery
Gillian Greene,Murder of a Cat
Kenneth Branagh,Murder on the Orient Express
Dana Adam Shapiro,Murderball
Jean-Pierre Denis,Murderous Maids
Scott Mactavish,Murph: The Protector
Greg 'Freddy' Camalier,Muscle Shoals
Alonso Ruiz Palacios,Museo
Jem Cohen,Museum Hours
Sia,Music
Marc Lawrence,Music and Lyrics
Daniel Anker,Music from the Inside Out
Steven Sawalich,Music Within
Susan Seidelman,Musical Chairs
Gary David Goldberg,Must Love Dogs
Morgan Dews,Must Read After My Death
Deniz Gamze Ergüven,Mustang
Bill Plympton,Mutant Aliens
Duncan Jones,Mute
Andrew Bujalski,Mutual Appreciation
Robert Vince,MVP: Most Valuable Primate
Jean Becker,My Afternoons with Margueritte
Angelo Pizzo,My All American
Eric Walter,My Amityville Horror
Nathaniel Kahn,My Architect
Laurie Simmons,My Art
Cheryl Dunye,My Baby's Daddy
Wolfgang Murnberger,My Best Enemy
Joel Zwick,My Big Fat Greek Wedding
Kirk Jones,My Big Fat Greek Wedding 2
Philip Zlotorynski,My Big Fat Independent Movie
Álex de la Iglesia,My Big Night
Sophie Goodhart,My Blind Brother
Patrick Lussier,My Bloody Valentine
Kar Wai Wong,My Blueberry Nights
Daniele Luchetti,My Brother Is an Only Child
Sally El Hosaini,My Brother the Devil
Matt Riddlehoover,My Darling Vivian
Brett Winn,My Date with Drew
Jay Russell,My Dog Skip
Paul Fierlinger,My Dog Tulip
Dash Shaw,My Entire High School Sinking Into the Sea
Jonathan Holiff,My Father and The Man In Black
Sean Brosnan,My Father Die
Christine Lahti,My First Mister
Jonathan Karsh,My Flesh and Blood
Marc Meyers,My Friend Dahmer
Arnaud Desplechin,My Golden Days
Nana Ekvtimishvili,My Happy Family
Bertrand Tavernier,My Journey Through French Cinema
Sergei Loznitsa,My Joy
Amir Bar-Lev,My Kid Could Paint That
Maïwenn Le Besco,My King
Claude Barras,My Life as a Zucchini
Liv Corfixen,My Life Directed by Nicolas Winding Refn
Donald Petrie,My Life in Ruins
Isabel Coixet,My Life Without Me
Jayson Thiessen,My Little Pony: The Movie
Stéphanie Chuat,My Little Sister
Mo-young Jin,"My Love, Don't Cross That River"
Dennie Gordon,My Lucky Star
Christophe Honoré,My Mother
Daniela Féjerman,My Mother Likes Women
Kasper Collin,My Name Is Albert Ayler
Bruce Campbell,My Name Is Bruce
Agnès B.,My Name Is Hmmm...
Karan Johar,My Name Is Khan
Betsy West,My Name Is Pauli Murray
Israel Horovitz,My Old Lady
Richard Loncraine,My One and Only
Robin Hessman,My Perestroika
Errol Morris,My Psychedelic Love Story
Jennifer Fox,My Reincarnation
Oeke Hoogendijk,My Rembrandt
Philippe Falardeau,My Salinger Year
John Dower,My Scientology Movie
Maximilian Schell,My Sister Maria
Nick Cassavetes,My Sister's Keeper
Christian Carion,My Son
Werner Herzog,"My Son, My Son, What Have Ye Done"
Wes Craven,My Soul to Take
Pawel Pawlikowski,My Summer of Love
Ivan Reitman,My Super Ex-Girlfriend
Yulie Gerstel,My Terrorist
Martin Scorsese,My Voyage to Italy
Je-gyu Kang,My Way
Simon Curtis,My Week with Marilyn
Yvan Attal,My Wife Is an Actress
Guy Maddin,My Winnipeg
Bettina Oberli,My Wonderful Wanda
Anne Fontaine,My Worst Nightmare
Julie Delpy,My Zoe
Raoul Ruiz,Mysteries of Lisbon
Apichatpong Weerasethakul,Mysterious Object at Noon
Gregg Araki,Mysterious Skin
Clint Eastwood,Mystic River
Richard Lowenstein,Mystify: Michael Hutchence
Ki-duk Kim,Nabbeun namja
Jared Hess,Nacho Libre
Christopher Long,Naked Fame
Paula Fouce,Naked in Ashes
Chase Palmer,Naked Singularity
Kelly Daniela Norris,Nakom
Christina Choe,Nancy
Andrew Fleming,Nancy Drew
Katt Shea,Nancy Drew and the Hidden Staircase
Bill Guttentag,Nanking
Kirk Jones,Nanny McPhee
Susanna White,Nanny McPhee Returns
Jared Hess,Napoleon Dynamite
Godfrey Reggio,Naqoyqatsi
Joe Carnahan,Narc
Shaul Schwarz,Narco Cultura
One9,Nas: Time Is Illmatic
Simon Wincer,NASCAR: The IMAX Experience
Sebastián Silva,Nasty Baby
Anne Fontaine,Nathalie...
Sonia Kennebeck,National Bird
Ric Roman Waugh,National Champions
Frederick Wiseman,National Gallery
Gary Preisler,National Lampoon's Gold Diggers
Dennis Dugan,National Security
Jon Turteltaub,National Treasure
Jon Turteltaub,National Treasure: Book of Secrets
Rashid Johnson,Native Son
Robbie Pickering,Natural Selection
Todd Rohal,Nature Calls
Jay Dockendorf,Naz & Maalik
Rick Rosenthal,Nearing Grace
Gregor Jordan,Ned Kelly
Hal Hartley,Ned Rifle
Scott Waugh,Need For Speed
John Ridley,Needle in a Timestack
Kleber Mendonça Filho,Neighboring Sounds
Nicholas Stoller,Neighbors
Nicholas Stoller,Neighbors 2: Sorority Rising
Jonathan Demme,Neil Young: Heart of Gold
Jonathan Demme,Neil Young Trunk Show
Clément Cogitore,Neither Heaven Nor Earth
Nicolas Philibert,Nénette
Gabriel Mascaro,Neon Bull
Pablo Larraín,Neruda
Ariel Schulman,Nerve
Micki Dickoff,Neshoba
Jeff Wadlow,Never Back Down
Sean Anders,Never Been Thawed
Kaku Arakawa,Never-Ending Man: Hayao Miyazaki
Augustine Frizzell,Never Goin' Back
Malgorzata Szumowska,Never Gonna Snow Again
Ivan Kavanagh,Never Grow Old
Camille Thoman,Never Here
Mark Romanek,Never Let Me Go
Florian Henckel von Donnersmarck,Never Look Away
Eliza Hittman,Never Rarely Sometimes Always
Kathleen Hepburn,"Never Steady, Never Still"
Zoe Clarke-Williams,New Best Friend
Bilge Ebiri,New Guy
Jonas Elmer,New in Town
Michel Franco,New Order
Garry Marshall,New Year's Eve
Greg Whiteley,New York Doll
Allen Hughes,"New York, I Love You"
Dennie Gordon,New York Minute
Shaka King,Newlyweeds
Drake Doremus,Newness
Paul Greengrass,News of the World
Kim A. Snyder,Newtown
Steve Carr,Next Friday
Mike Brett,Next Goal Wins
Douglas McGrath,Nicholas Nickleby
