salesdid;fName
984;Contemporary_Fiction
985;
986;Contemporary_Fiction
987;
988;Contemporary_Fiction
989;Factual
990;Historical_Fiction
991;Factual
992;Contemporary_Fiction
993;Contemporary_Fiction
994;Contemporary_Fiction
995;Fantasy
996;Factual
997;Contemporary_Fiction
998;Contemporary_Fiction
999;Contemporary_Fiction
1000;Contemporary_Fiction
1001;
1002;
1003;Contemporary_Fiction
1004;Historical_Fiction
1005;Contemporary_Fiction
1006;Contemporary_Fiction
1007;Contemporary_Fiction
1008;Contemporary_Fiction
1009;Factual
1010;
1011;Factual
1012;Factual
1013;Contemporary_Fiction
1014;Contemporary_Fiction
1015;Fantasy
1016;Fantasy
1017;Factual
1018;Contemporary_Fiction
1019;Contemporary_Fiction
1020;Kids_Fiction
1021;Contemporary_Fiction
1022;Contemporary_Fiction
1023;Contemporary_Fiction
1024;Factual
1025;Kids_Fiction
1026;
1027;Contemporary_Fiction
1028;Factual
1029;
1030;Kids_Fiction
1031;
1032;
1033;Factual
1034;Contemporary_Fiction
1035;
1036;Contemporary_Fiction
1037;Contemporary_Fiction
1038;Historical_Fiction
1039;Contemporary_Fiction
1040;Factual
1041;Factual
1042;Dramatization
1043;Contemporary_Fiction
1044;Contemporary_Fiction
1045;Factual
1046;Contemporary_Fiction
1047;Science_Fiction
1048;Contemporary_Fiction
1049;Contemporary_Fiction
1050;Contemporary_Fiction
1051;
1052;Contemporary_Fiction
1053;Factual
1054;Contemporary_Fiction
1055;Contemporary_Fiction
1056;Dramatization
1057;Kids_Fiction
1058;Dramatization
1059;Factual
1060;Factual
1061;Kids_Fiction
1062;Kids_Fiction
1063;Contemporary_Fiction
1064;
1065;Contemporary_Fiction
1066;Kids_Fiction
1067;Science_Fiction
1068;
1069;Historical_Fiction
1070;Contemporary_Fiction
1071;
1072;Contemporary_Fiction
1073;Contemporary_Fiction
1074;Factual
1075;Factual
1076;Factual
1077;Contemporary_Fiction
1078;Contemporary_Fiction
1079;Historical_Fiction
1080;Factual
1081;Fantasy
1082;
1083;Contemporary_Fiction
1084;Factual
1085;Factual
1086;Contemporary_Fiction
1087;Science_Fiction
1088;Contemporary_Fiction
1089;Dramatization
1090;Contemporary_Fiction
1091;Factual
1092;Factual
1093;
1094;Contemporary_Fiction
1095;Kids_Fiction
1096;Factual
1097;Factual
1098;Contemporary_Fiction
1099;Dramatization
1100;Contemporary_Fiction
1101;Fantasy
1102;Historical_Fiction
1103;Contemporary_Fiction
1104;Super_Hero
1105;Contemporary_Fiction
1106;Contemporary_Fiction
1107;Historical_Fiction
1108;Factual
1109;Contemporary_Fiction
1110;Contemporary_Fiction
1111;Contemporary_Fiction
1112;Contemporary_Fiction
1113;Science_Fiction
1114;Contemporary_Fiction
1115;Contemporary_Fiction
1116;Historical_Fiction
1117;Factual
1118;Kids_Fiction
1119;
1120;
1121;Contemporary_Fiction
1122;Factual
1123;Factual
1124;Contemporary_Fiction
1125;Contemporary_Fiction
1126;
1127;Historical_Fiction
1128;Kids_Fiction
1129;Kids_Fiction
1130;Historical_Fiction
1131;Contemporary_Fiction
1132;Contemporary_Fiction
1133;Contemporary_Fiction
1134;Contemporary_Fiction
1135;Historical_Fiction
1136;
1137;Contemporary_Fiction
1138;Factual
1139;Contemporary_Fiction
1140;Factual
1141;Historical_Fiction
1142;Science_Fiction
1143;Factual
1144;Contemporary_Fiction
1145;Contemporary_Fiction
1146;Contemporary_Fiction
1147;Factual
1148;Contemporary_Fiction
1149;Science_Fiction
1150;
1151;Contemporary_Fiction
1152;Historical_Fiction
1153;Factual
1154;Factual
1155;
1156;
1157;Contemporary_Fiction
1158;Science_Fiction
1159;Contemporary_Fiction
1160;Factual
1161;Contemporary_Fiction
1162;Historical_Fiction
1163;Contemporary_Fiction
1164;
1165;Factual
1166;
1167;Contemporary_Fiction
1168;Contemporary_Fiction
1169;Contemporary_Fiction
1170;Factual
1171;Factual
1172;Contemporary_Fiction
1173;Contemporary_Fiction
1174;Contemporary_Fiction
1175;Historical_Fiction
1176;
1177;
1178;Historical_Fiction
1179;Contemporary_Fiction
1180;Factual
1181;Contemporary_Fiction
1182;Contemporary_Fiction
1183;Contemporary_Fiction
1184;Contemporary_Fiction
1185;Fantasy
1186;Science_Fiction
1187;Dramatization
1188;Contemporary_Fiction
1189;Contemporary_Fiction
1190;Contemporary_Fiction
1191;Historical_Fiction
1192;Contemporary_Fiction
1193;
1194;Fantasy
1195;Fantasy
1196;Contemporary_Fiction
1197;
1198;Historical_Fiction
1199;
1200;Factual
1201;Contemporary_Fiction
1202;Contemporary_Fiction
1203;Factual
1204;Contemporary_Fiction
1205;Contemporary_Fiction
1206;Factual
1207;Factual
1208;Fantasy
1209;Factual
1210;Factual
1211;Historical_Fiction
1212;Contemporary_Fiction
1213;Kids_Fiction
1214;Factual
1215;Contemporary_Fiction
1216;Contemporary_Fiction
1217;Contemporary_Fiction
1218;
1219;Historical_Fiction
1220;Contemporary_Fiction
1221;
1222;Science_Fiction
1223;Contemporary_Fiction
1224;Contemporary_Fiction
1225;Contemporary_Fiction
1226;Contemporary_Fiction
1227;
1228;Contemporary_Fiction
1229;Contemporary_Fiction
1230;Contemporary_Fiction
1231;Contemporary_Fiction
1232;Contemporary_Fiction
1233;
1234;Factual
1235;
1236;Contemporary_Fiction
1237;
1238;
1239;Historical_Fiction
1240;Fantasy
1241;Contemporary_Fiction
1242;Factual
1243;Contemporary_Fiction
1244;Contemporary_Fiction
1245;Contemporary_Fiction
1246;Factual
1247;
1248;Contemporary_Fiction
1249;Contemporary_Fiction
1250;Contemporary_Fiction
1251;Kids_Fiction
1252;Kids_Fiction
1253;Contemporary_Fiction
1254;Contemporary_Fiction
1255;Factual
1256;Fantasy
1257;Dramatization
1258;Factual
1259;Contemporary_Fiction
1260;Contemporary_Fiction
1261;Contemporary_Fiction
1262;Contemporary_Fiction
1263;Fantasy
1264;Contemporary_Fiction
1265;Contemporary_Fiction
1266;
1267;Contemporary_Fiction
1268;Dramatization
1269;Factual
1270;Contemporary_Fiction
1271;Contemporary_Fiction
1272;Factual
1273;Contemporary_Fiction
1274;Factual
1275;Contemporary_Fiction
1276;Kids_Fiction
1277;Dramatization
1278;Contemporary_Fiction
1279;Historical_Fiction
1280;Factual
1281;Contemporary_Fiction
1282;Factual
1283;Contemporary_Fiction
1284;Multiple_Creative_Types
1285;
1286;Historical_Fiction
1287;Contemporary_Fiction
1288;Dramatization
1289;Contemporary_Fiction
1290;Contemporary_Fiction
1291;Contemporary_Fiction
1292;
1293;Science_Fiction
1294;Contemporary_Fiction
1295;Contemporary_Fiction
1296;Science_Fiction
1297;Historical_Fiction
1298;Historical_Fiction
1299;Factual
1300;Contemporary_Fiction
1301;Contemporary_Fiction
1302;
1303;Contemporary_Fiction
1304;Contemporary_Fiction
1305;Contemporary_Fiction
1306;Contemporary_Fiction
1307;Contemporary_Fiction
1308;Historical_Fiction
1309;Contemporary_Fiction
1310;Contemporary_Fiction
1311;Contemporary_Fiction
1312;Kids_Fiction
1313;Historical_Fiction
1314;Dramatization
1315;Contemporary_Fiction
1316;Kids_Fiction
1317;Contemporary_Fiction
1318;
1319;Contemporary_Fiction
1320;Contemporary_Fiction
1321;
1322;
1323;
1324;Contemporary_Fiction
1325;Kids_Fiction
1326;Contemporary_Fiction
1327;Historical_Fiction
1328;Contemporary_Fiction
1329;Historical_Fiction
1330;
1331;Contemporary_Fiction
1332;Contemporary_Fiction
1333;
1334;
1335;Fantasy
1336;Contemporary_Fiction
1337;Dramatization
1338;
1339;Factual
1340;Contemporary_Fiction
1341;Contemporary_Fiction
1342;
1343;Science_Fiction
1344;Contemporary_Fiction
1345;Contemporary_Fiction
1346;Science_Fiction
1347;Contemporary_Fiction
1348;Science_Fiction
1349;Dramatization
1350;Contemporary_Fiction
1351;Factual
1352;Contemporary_Fiction
1353;Contemporary_Fiction
1354;Kids_Fiction
1355;Contemporary_Fiction
1356;
1357;Contemporary_Fiction
1358;Contemporary_Fiction
1359;Factual
1360;Contemporary_Fiction
1361;Contemporary_Fiction
1362;
1363;Historical_Fiction
1364;Contemporary_Fiction
1365;Kids_Fiction
1366;Contemporary_Fiction
